# Ti chemistry from Phillip Stancil
# Ti related reactions are mainly copied from Si related reactions.
# Phillip's rates were based on UMIST2006
# Gargi Shaw updated the rates to UMIST2012 from UMIST2006.
# #Si5209 means that Reaction is copied from Si reaction, and the reaction number is 5209 in UMIST2012.
#
HCO,TiO+=>TiO,HCO+:hmrate:6.6E-010:-0.5:0 # Si504
TiH,S+=>S,TiH+:hmrate:4.2E-010:0:0 # Si724
NO,TiO+=>TiO,NO+:hmrate:7.2E-010:0:0 # Si631
S+,TiC=>TiC+,S:hmrate:3.7E-009:-0.5:0 # Si705
S+,TiS=>TiS+,S:hmrate:3.2E-009:-0.5:0 # Si706
TiO+,Fe=>Fe+,TiO:hmrate:1.E-09:0:0 # Si725
#Ti+,H-=>Ti,H:hmrate:7.51E-008:-0.5:0 # Si4944 #already in mole_reactions.cpp (H- + A+ = H + A), 20240404                         
C-,Ti+=>Ti,C:hmrate:7.51E-008:-0.5:0 # Si4138
Ti+,S-=>S,Ti:hmrate:7.51E-008:-0.5:0 # Si5084
TiH+,e-=>Ti,H:hmrate:2.00E-007:-0.5:0 # Si1498
TiH2+,e-=>Ti,H,H:hmrate:2.00E-007:-0.5:0 # Si1500
TiH2+,e-=>Ti,H2:hmrate:1.5E-007:-0.5:0 # Si1499
TiH2+,e-=>TiH,H:hmrate:1.50E-007:-0.5:0 # Si1501
TiC+,e-=>Ti,C:hmrate:2.00E-007:-0.5:0 # Si1471
HCTi+,e-=>Ti,CH:hmrate:1.50E-007:-0.5:0 # Si1362
HCTi+,e-=>TiC,H:hmrate:1.50E-007:-0.5:0 # Si1363
TiN+,e-=>Ti,N:hmrate:2.00E-007:-0.5:0 # Si1508    # big blotches in coll_t4_Z40 and limit_eden.in                                   
HNTi+,e-=>Ti,NH:hmrate:1.50E-007:-0.5:0 # Si1376
HNTi+,e-=>TiN,H:hmrate:1.50E-007:-0.5:0 # Si1377
#TiO+,e-=>Ti,O:hmrate:2.00E-007:-0.5:0 # Si1514
TiO+,e-=>Ti,O:hmrate:1.E-7:0:0 # Churchwell et al. 1980,table III         
TiOH+,e-=>Ti,OH:hmrate:1.50E-007:-0.5:0 # Si1515
TiOH+,e-=>TiO,H:hmrate:1.50E-007:-0.5:0 # Si1516
TiF+,e-=>Ti,F:hmrate:2.00E-007:-0.5:0 # Si1497        # big blotchs for eden in limit_eden.in, 20230826   
TiC2+,e-=>Ti,C2:hmrate:1.50E-007:-0.5:0 # Si1472
TiC2+,e-=>TiC,C:hmrate:1.50E-007:-0.5:0 # Si1473
TiNC+,e-=>Ti,CN:hmrate:3.00E-007:-0.5:0 # Si1509
TiS+,e-=>S,Ti:hmrate:2.00E-007:-0.5:0 # Si1517
HTiS+,e-=>HS,Ti:hmrate:1.50E-007:-0.5:0 # Si1400
HTiS+,e-=>TiS,H:hmrate:1.50E-007:-0.5:0 # Si1401
Ti+,e-=>Ti,PHOTON:hmrate:4.26E-012:-0.62:0 # Si6178
H,Ti+=>TiH+,PHOTON:hmrate:1.17E-017:-0.14:0 # Si6127
H2,Ti+=>TiH2+,PHOTON:hmrate:3.E-018:0:0 # Si6114
O,Ti+=>TiO+,PHOTON:hmrate:9.22E-019:-0.08:-21.2 # Si6136
O,Ti=>TiO,PHOTON:hmrate:5.52E-018:0.31:0 # Si6137
Ti,PHOTON=>Ti+,e-:th85rate:3.10E-009:0:2.3 # Si6017
TiH,PHOTON=>Ti,H:th85rate:2.80E-009:0:1.6 # Si6038
TiH+,PHOTON=>Ti+,H:th85rate:2.70E-009:0:1.2 # Si6029
TiC,PHOTON=>Ti,C:th85rate:1.00E-010:0:2.3 # Si6025
TiO,PHOTON=>Ti,O:th85rate:1.60E-9:0:2.3 # Si6044
TiO,PHOTON=>TiO+,e-:th85rate:2.40E-010:0:2 # Si6045
TiO+,PHOTON=>Ti+,O:th85rate:1.00E-010:0:2 # Si6042
TiS,PHOTON=>S,Ti:th85rate:1.00E-010:0:2.3 # Si6046
Ti,CRPHOT=>Ti+,e-:crnurate:2115:0:0 # Si4424
TiH,CRPHOT=>Ti,H:crnurate:250:0:0 # Si980
TiC,CRPHOT=>Ti,C:crnurate:250:0:0 # Si974
TiO,CRPHOT=>Ti,O:crnurate:250:0:0 # Si984
TiS,CRPHOT=>S,Ti:crnurate:250:0:0 # Si985
Ti,O=>TiO+,e-:hmrate:1.00E-011:0:1973 # chu80,opp77
TiO+,e-=>TiO,PHOTON:hmrate:5.00E-010:0:0 # chu80
#Ti+,O2=>TiO+,O:hmrate:1.5E-011:0:0 # S3895
Ti+,O2=>TiO+,O:hmrate:1.E-9:0:0 # Churchwell et al. 1980,table III
#Ti+,H2O=>TiO+,H2:hmrate:6.10E-011:0:0 # no such reaction in UMIST2012, 20230826
Ti+,H2O=>TiO+,H2:hmrate:1.E-9:0:0 # Churchwell et al. 1980,table III
TiO+,Ca=>TiO,Ca+:hmrate:1.00E-009:0:0 # chu80
TiO+,Na=>TiO,Na+:hmrate:1.00E-009:0:0 # chu80
TiO+,Al=>TiO,Al+:hmrate:1.00E-009:0:0 # chu80
TiO+,K=>TiO,K+:hmrate:1.00E-009:0:0 # chu80
TiO,C=>Ti,CO:hmrate:1.00E-010:0:0 # chu80
#Ti+,NH3=>HNTi+,H2:hmrate:2.62E-010:0:0 # no such reaction in UMIST2012, 20230826
Ti+,CH3OH=>TiOH+,CH3:hmrate:1.65e-9:-0.5:0 # Si4088 
TiH,H=>Ti,H2:hmrate:8.3e-11:0:0 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
TiH,O=>Ti,OH:hmrate:1.66e-10:0:0 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
TiH,CH3=>Ti,CH4:hmrate:1.0e-10:0:0 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
TiC,H=>Ti,CH:hmrate:1.0e-10:0:20109. # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
Ti,CO=>TiC,O:hmrate:8.0e-10:0:68842. # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
Ti,CN=>TiC,N:hmrate:5.0e-10:0:29543. # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928                           
Ti,NO=>TiN,O:hmrate:5.0e-11:0:19706. # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928                    
TiN,H=>Ti,NH:hmrate:1.e-10:0:15655. # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
Ti,NO=>TiO,N:hmrate:9.E-011:-0.96:0 # Si5709, 20230828, replaced by Shang-Min Tsai et al 2021 ApJ 923 264, 20230928  
TiO2,O=>TiO,O2:hmrate:1.e-10:0:11877 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
TiO2,CO=>TiO,CO2:hmrate:1.e-10:0:9160 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
TiO,O=>Ti,O2:hmrate:5.42e-13:0:20794 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928       
TiO,N=>Ti,NO:hmrate:4.76e-12:0:4772 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
TiO,N2=>Ti,N2O:hmrate:5.9e-12:0:62193 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928
#TiO,H=>Ti,OH:hmrate:2e-10:0:28418 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928   # convergence problem for high density
#TiO,H2=>Ti,H2O:hmrate:2e-11:0:21270 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928 # convergence problem for high density
Ti,CO2=>TiO,CO:hmrate:7.01e-11:0:1790 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928    
#TiO2,H=>TiO,OH:hmrate:1.e-10:0:19500 # Shang-Min Tsai et al 2021 ApJ 923 264, 20230928  #convergence problem for high density
TiO,NO=>TiO2,N:hmrate:7.8e-12:0:0 # Ritter, D., & Weisshaar, J. C. 1990, J. Phys. Chem., 94, 4907  
TiO,O2=>TiO2,O:hmrate:1.5e-12:0:0 # Ritter, D., & Weisshaar, J. C. 1990, J. Phys. Chem., 94, 4907
TiO,N2O=>TiO2,N2:hmrate:4.e-13:0:0 # Ritter, D., & Weisshaar, J. C. 1990, J. Phys. Chem., 94, 4907         
#Ti+,CH3OH=>TiO+,CH4:hmrate:1.96E-009:0:0 # no such reaction in UMIST2012, 20230826
#Ti+,NO=>TiO+,N:hmrate:9.50E-011:0:0 # no such reaction in UMIST2012, 20230826
